Country,Date,Confirmed,Deaths,Recovered,Recover Rate,Death Rate
Antigua and Barbuda,43916,7,,,0,0
Antigua and Barbuda,43917,7,,,0,0
Antigua and Barbuda,43918,7,,,0,0
Antigua and Barbuda,43919,7,,,0,0
Antigua and Barbuda,43920,7,,,0,0
Antigua and Barbuda,43921,7,,,0,0
Argentina,43893,1,,,0,0
Argentina,43894,1,,,0,0
Argentina,43895,1,,,0,0
Argentina,43896,2,,,0,0
Argentina,43897,8,,,0,0
Argentina,43898,12,1,,0,0.083333333
Argentina,43899,12,1,,0,0.083333333
Argentina,43900,17,1,,0,0.058823529
Argentina,43901,19,1,,0,0.052631579
Argentina,43902,19,1,,0,0.052631579
Argentina,43903,31,2,,0,0.064516129
Argentina,43904,34,2,1,0.029411765,0.058823529
Argentina,43905,45,2,1,0.022222222,0.044444444
Argentina,43906,56,2,1,0.017857143,0.035714286
Argentina,43907,68,2,3,0.044117647,0.029411765
Argentina,43908,79,2,3,0.037974684,0.025316456
Argentina,43909,97,3,3,0.030927835,0.030927835
Argentina,43910,128,3,3,0.0234375,0.0234375
Argentina,43911,158,4,3,0.018987342,0.025316456
Argentina,43912,266,4,3,0.011278195,0.015037594
Argentina,43913,301,4,3,0.009966777,0.013289037
Argentina,43914,387,6,52,0.134366925,0.015503876
Argentina,43915,387,8,52,0.134366925,0.020671835
Argentina,43916,502,9,63,0.125498008,0.017928287
Argentina,43917,589,13,72,0.122241087,0.022071307
Argentina,43918,690,18,72,0.104347826,0.026086957
Argentina,43919,745,19,72,0.096644295,0.025503356
Argentina,43920,820,23,228,0.27804878,0.02804878
Argentina,43921,1054,27,240,0.227703985,0.025616698
Armenia,43891,1,,,0,0
Armenia,43892,1,,,0,0
Armenia,43893,1,,,0,0
Armenia,43894,1,,,0,0
Armenia,43895,1,,,0,0
Armenia,43896,1,,,0,0
Armenia,43897,1,,,0,0
Armenia,43898,1,,,0,0
Armenia,43899,1,,,0,0
Armenia,43900,1,,,0,0
Armenia,43901,1,,,0,0
Armenia,43902,4,,,0,0
Armenia,43903,8,,,0,0
Armenia,43904,18,,,0,0
Armenia,43905,26,,,0,0
Armenia,43906,52,,,0,0
Armenia,43907,78,,1,0.012820513,0
Armenia,43908,84,,1,0.011904762,0
Armenia,43909,115,,1,0.008695652,0
Armenia,43910,136,,1,0.007352941,0
Armenia,43911,160,,1,0.00625,0
Armenia,43912,194,,2,0.010309278,0
Armenia,43913,235,,2,0.008510638,0
Armenia,43914,249,,14,0.0562249,0
Armenia,43915,265,,16,0.060377358,0
Armenia,43916,290,1,18,0.062068966,0.003448276
Armenia,43917,329,1,28,0.085106383,0.003039514
Armenia,43918,407,1,30,0.073710074,0.002457002
Armenia,43919,424,3,30,0.070754717,0.007075472
Armenia,43920,482,3,30,0.062240664,0.006224066
Armenia,43921,532,3,30,0.056390977,0.005639098
Australia,43856,4,,,0,0
Australia,43857,5,,,0,0
Australia,43858,5,,,0,0
Australia,43859,6,,,0,0
Australia,43860,9,,2,0.222222222,0
Australia,43861,9,,2,0.222222222,0
Australia,43862,12,,2,0.166666667,0
Australia,43863,12,,2,0.166666667,0
Australia,43864,12,,2,0.166666667,0
Australia,43865,13,,2,0.153846154,0
Australia,43866,13,,2,0.153846154,0
Australia,43867,14,,2,0.142857143,0
Australia,43868,15,,2,0.133333333,0
