Country,Date,Confirmed,Deaths,Recovered,Recover_Rate,Death_Rate
Singapore,43919,844,3,212,0.251184834,0.003554502
Slovakia,43919,314,,2,0.006369427,0
Slovenia,43919,730,11,10,0.01369863,0.015068493
Somalia,43919,3,,,0,0
South Africa,43919,1280,2,31,0.02421875,0.0015625
Spain,43919,80110,6803,14709,0.183610036,0.084920734
Sri Lanka,43919,117,1,11,0.094017094,0.008547009
Sudan,43919,6,1,,0,0.166666667
Suriname,43919,8,,,0,0
Sweden,43919,3700,110,16,0.004324324,0.02972973
Switzerland,43919,14829,300,1595,0.107559512,0.020230629
Syria,43919,9,1,,0,0.111111111
Taiwan*,43919,298,2,30,0.100671141,0.006711409
Tanzania,43919,14,,1,0.071428571,0
Thailand,43919,1388,7,97,0.069884726,0.005043228
Timor-Leste,43919,1,,,0,0
Togo,43919,25,1,1,0.04,0.04
Trinidad and Tobago,43919,78,3,1,0.012820513,0.038461538
Tunisia,43919,312,8,2,0.006410256,0.025641026
Turkey,43919,9217,131,105,0.011391993,0.014212868
US,43919,140886,2467,2665,0.018916003,0.017510611
Uganda,43919,33,,,0,0
Ukraine,43919,475,10,6,0.012631579,0.021052632
United Arab Emirates,43919,570,3,58,0.101754386,0.005263158
United Kingdom,43919,19780,1231,151,0.007633974,0.06223458
Uruguay,43919,304,1,,0,0.003289474
Uzbekistan,43919,144,2,7,0.048611111,0.013888889
Venezuela,43919,119,2,39,0.327731092,0.016806723
Vietnam,43919,188,,25,0.132978723,0
West Bank and Gaza,43919,109,1,18,0.165137615,0.009174312
Zambia,43919,29,,,0,0
Zimbabwe,43919,7,1,,0,0.142857143
